"","Date.a","Plot","gsw.mean","gsw.std.error"
"1",2022-05-17,"1",0.0648541071428571,0.00634204656399818
"2",2022-05-17,"2",0.1034445,0.00796806838392395
"3",2022-05-17,"3",0.104388259259259,0.00862725940263008
"4",2022-05-17,"4",0.0804527288135593,0.006048873280703
"5",2022-06-02,"1",0.197468354166667,0.00973758285352863
"6",2022-06-02,"2",0.207781,0.00817994291247919
"7",2022-06-02,"3",0.151663604166667,0.00977310867396541
"8",2022-06-02,"4",0.192363760869565,0.0109450446645666
"9",2022-06-16,"1",0.0734266170212766,0.00683576526858349
"10",2022-06-16,"2",0.0924252127659574,0.00779436410504257
"11",2022-06-16,"3",0.0821526363636364,0.00696076933391484
"12",2022-06-16,"4",0.0783634042553192,0.0072355520529707
"13",2022-06-16,"22",0.0556265,0.00498130102204456
